Project,Cruise,Site,depth,date,Season,lat (N),lon (E),Region,POC flux slow,POC flux slow unc,POC flux fast,POC flux fast unc,POC flux TOT,POC flux TOT unc,Notes on SV,Reference
none,none,none,m,yyyymmdd,range,degrees,degrees,none,mg m-2 d-1,mg m-2 d-1,mg m-2 d-1,mg m-2 d-1,mg m-2 d-1,mg m-2 d-1,none,none
EXPORTS,JC214,PAP,60,20210507,March-May,48.890435,-14.857825,regions.NA,55.96841895,7.213599674,54.75926183,12.19858719,110.7276808,14.17185767,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,175,20210507,March-May,48.890438,-14.857798,regions.NA,17.72980796,5.633643289,38.87292205,11.07129042,56.60273001,12.42221431,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,505,20210507,March-May,48.890439,-14.857805,regions.NA,6.416134921,8.823775391,36.6538499,10.85607832,43.06998482,13.98976228,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,100,20210507,March-May,48.890439,-14.857815,regions.NA,39.36000227,9.288124015,73.54553327,11.05690622,112.9055355,14.44037475,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,70,20210512,March-May,49.10358,-15.029462,regions.NA,25.31977148,5.06479965,67.02456398,9.479532409,92.34433546,10.7477314,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,170,20210512,March-May,49.103583,-15.029454,regions.NA,48.38642626,21.3691462,19.61538096,10.55097567,68.00180722,23.83198475,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,500,20210512,March-May,49.104117,-15.024074,regions.NA,14.25356225,7.644149189,41.59332474,15.7152167,55.84688698,17.47572753,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,125,20210512,March-May,49.104121,-15.02405,regions.NA,0,2.845734691,37.69617135,12.10085419,37.69617135,12.43096449,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,63,20210513,March-May,49.187889,-14.783012,regions.NA,79.57914267,8.578283756,95.98028415,16.7855721,175.5594268,18.85052739,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,330,20210513,March-May,49.187882,-14.782991,regions.NA,6.134592557,0.744306326,25.16249191,7.825384269,31.29708447,7.860701678,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,125,20210513,March-May,49.187871,-14.783,regions.NA,26.46330288,1.666510661,39.83214621,18.12969396,66.29544909,18.20612702,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,73,20210513,March-May,49.103866,-14.754779,regions.NA,43.8756259,10.15079887,84.78618628,12.22923575,128.6618122,15.89317227,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,174,20210513,March-May,49.10387,-14.754776,regions.NA,4.232409543,1.763084144,39.16914272,14.80293086,43.40155226,14.90755606,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,65,20210514,March-May,49.028818,-14.779185,regions.NA,57.93254926,31.51172172,128.1126459,30.53161138,186.0451952,43.87673528,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,495,20210516,March-May,49.043051,-14.661665,regions.NA,15.75706719,0.85222786,17.72983657,5.200519928,33.48690377,5.269886132,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,175,20210516,March-May,49.041366,-14.66221,regions.NA,12.55014871,10.7259123,31.01010263,10.07421881,43.56025134,14.71513097,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,125,20210516,March-May,49.040837,-14.662377,regions.NA,38.82590087,3.973244265,67.29449446,21.28023081,106.1203953,21.64797665,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,75,20210516,March-May,49.040426,-14.662562,regions.NA,26.67126702,5.998026954,78.32950003,17.7740457,105.000767,18.75881201,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,330,20210517,March-May,48.917251,-14.816211,regions.NA,24.35693737,4.007741585,44.53038246,12.73024094,68.88731983,13.34619898,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,175,20210517,March-May,48.917234,-14.816228,regions.NA,1.935842909,6.322612258,36.12279903,10.84439539,38.05864194,12.55294137,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,75,20210517,March-May,48.917238,-14.816253,regions.NA,71.24417436,7.754095112,94.55091879,20.87511249,165.7950932,22.26872947,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,60,20210517,March-May,48.917249,-14.816234,regions.NA,122.6485776,4.542743321,70.53976171,17.51076231,193.1883393,18.09042049,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,125,20210518,March-May,48.95688,-14.908585,regions.NA,25.21672616,4.67648326,37.75532591,9.782714173,62.97205207,10.84301583,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,505,20210519,March-May,48.967597,-14.821262,regions.NA,13.17578139,3.86660867,35.37572594,10.13734857,48.55150734,10.84972344,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,140,20210519,March-May,48.967602,-14.821251,regions.NA,21.58134039,5.769220585,53.07352984,18.04934071,74.65487023,18.94894736,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,90,20210519,March-May,48.9676,-14.821258,regions.NA,44.24295185,4.283432167,66.52583322,14.54305715,110.7687851,15.16074875,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,40,20210519,March-May,48.967596,-14.82126,regions.NA,106.9199163,37.55581939,63.24503445,20.52183823,170.1649507,42.79702576,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,505,20210522,March-May,48.892636,-14.690592,regions.NA,13.60541878,1.394916538,21.44277532,7.74611097,35.0481941,7.870706913,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,185,20210522,March-May,48.891861,-14.691967,regions.NA,7.390960835,14.27328296,31.56040297,9.799602312,38.95136381,17.31354418,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,125,20210522,March-May,48.891911,-14.691871,regions.NA,12.99092808,5.2543078,47.72444951,12.36308103,60.71537759,13.43329904,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
EXPORTS,JC214,PAP,85,20210522,March-May,48.891883,-14.69185,regions.NA,28.76296556,7.273617587,127.850874,130.332928,156.6138396,130.5357332,"Slow: 18 md-1,  Fast: 15-115 md-1",https://doi.org/10.1101/2024.01.11.575202
